exposures,clicks,ctr
160,57.0,0.35625
26,13.0,0.5
22,2.0,0.09090909090909091
29,2.0,0.06896551724137931
12,1.0,0.08333333333333333
22,10.0,0.45454545454545453
109,31.0,0.28440366972477066
10,2.0,0.2
25,1.0,0.04
21,2.0,0.09523809523809523
55,20.0,0.36363636363636365
12,1.0,0.08333333333333333
13,1.0,0.07692307692307693
22,0.0,0.0
11,4.0,0.36363636363636365
218,27.0,0.12385321100917432
10,2.0,0.2
13,1.0,0.07692307692307693
16,7.0,0.4375
44,8.0,0.18181818181818182
13,2.0,0.15384615384615385
127,13.0,0.10236220472440945
12,2.0,0.16666666666666666
20,4.0,0.2
70,11.0,0.15714285714285714
24,0.0,0.0
13,0.0,0.0
22,1.0,0.045454545454545456
18,3.0,0.16666666666666666
11,0.0,0.0
134,23.0,0.17164179104477612
10,3.0,0.3
19,7.0,0.3684210526315789
27,0.0,0.0
12,1.0,0.08333333333333333
43,4.0,0.09302325581395349
33,0.0,0.0
17,2.0,0.11764705882352941
22,3.0,0.13636363636363635
47,2.0,0.0425531914893617
13,0.0,0.0
36,14.0,0.3888888888888889
10,0.0,0.0
15,2.0,0.13333333333333333
27,2.0,0.07407407407407407
68,36.0,0.5294117647058824
133,21.0,0.15789473684210525
53,5.0,0.09433962264150944
50,4.0,0.08
14,1.0,0.07142857142857142
18,8.0,0.4444444444444444
50,20.0,0.4
54,10.0,0.18518518518518517
18,3.0,0.16666666666666666
11,3.0,0.2727272727272727
10,0.0,0.0
12,4.0,0.3333333333333333
34,4.0,0.11764705882352941
47,12.0,0.2553191489361702
69,4.0,0.057971014492753624
12,3.0,0.25
12,0.0,0.0
38,1.0,0.02631578947368421
224,13.0,0.05803571428571429
10,2.0,0.2
132,20.0,0.15151515151515152
199,81.0,0.40703517587939697
10,6.0,0.6
23,3.0,0.13043478260869565
24,6.0,0.25
14,4.0,0.2857142857142857
10,0.0,0.0
23,1.0,0.043478260869565216
139,20.0,0.14388489208633093
11,2.0,0.18181818181818182
16,1.0,0.0625
118,3.0,0.025423728813559324
18,0.0,0.0
62,22.0,0.3548387096774194
38,1.0,0.02631578947368421
67,6.0,0.08955223880597014
21,3.0,0.14285714285714285
