hour,exposures,clicks,ctr
0,10624659,4004110.0,0.376869507059003
1,6462822,2459780.0,0.38060463370335745
2,4132020,1578349.0,0.38198000009680494
3,2911135,1132104.0,0.38888749577055
4,2617287,1018969.0,0.38932260772318816
5,3692549,1441803.0,0.3904627941294753
6,6873534,2736763.0,0.3981595202700678
7,9968651,4063230.0,0.4076007877093902
8,11545430,4646235.0,0.4024306587108492
9,12947165,5041882.0,0.38941976872929324
10,14427110,5456754.0,0.37822918103487113
11,15441567,5874263.0,0.38041883961647155
12,17029465,6668191.0,0.3915678501937671
13,17132315,6724386.0,0.39249721943590227
14,15454700,5892132.0,0.3812517874821252
15,15767584,5933465.0,0.37630780974434636
16,16594065,6133382.0,0.3696129911507518
17,17525682,6510578.0,0.37148785422444613
18,18844519,7063714.0,0.3748418306670497
19,19871032,7312341.0,0.367989996694686
20,21315043,7761087.0,0.3641131289296484
21,22117433,8120614.0,0.36715897364761996
22,21859219,8093552.0,0.37025805908253173
23,17123399,6384858.0,0.37287328292706373
