exposure_per_video,video_count
1,17306814
2,4341464
3,2153872
4,1371751
5,941513
6,701502
7,533632
8,425354
9,341641
10,287324
11,240648
12,209497
13,181658
14,160666
15,142480
16,128709
17,115975
18,105293
19,95398
20,88412
21,80561
22,74792
23,68690
24,64313
25,59776
26,56265
27,52626
28,49178
29,46198
30,43773
31,41399
32,38971
33,37215
34,35177
35,33431
36,31805
37,30390
38,28843
39,27297
40,26831
41,25562
42,24644
43,23310
44,22448
45,21628
46,20752
47,20205
48,19219
49,18641
50,18109
51,17422
52,16895
53,16199
54,15796
55,15361
56,14912
57,14309
58,13802
59,13530
60,12952
61,12754
62,12234
63,11979
64,11573
65,11463
66,11022
67,10904
68,10504
69,10334
70,9824
71,9780
72,9442
73,9280
74,9104
75,8834
76,8421
77,8464
78,8295
79,7975
80,7928
81,7726
82,7736
83,7458
84,7223
85,7105
86,7040
87,6840
88,6680
89,6642
90,6248
91,6249
92,6144
93,6128
94,6108
95,5805
96,5688
97,5537
98,5540
99,5408
100,5273
101,5393
102,5118
103,4954
104,4971
105,5003
106,4840
107,4714
108,4687
109,4619
110,4510
111,4455
112,4326
113,4257
114,4205
115,4109
116,4119
117,4050
118,3946
119,3906
120,3723
121,3812
122,3751
123,3639
124,3639
125,3607
126,3571
127,3478
128,3329
129,3314
130,3304
131,3265
132,3170
133,3148
134,3139
135,3200
136,2965
137,2921
138,2959
139,2896
140,2847
141,2810
142,2842
143,2790
144,2677
145,2681
146,2751
147,2597
148,2619
149,2533
150,2535
151,2495
152,2437
153,2414
154,2558
155,2369
156,2255
157,2351
158,2351
159,2282
160,2263
161,2251
162,2282
163,2255
164,2119
165,2108
166,2063
167,2069
168,2084
169,2005
170,2031
171,2038
172,1988
173,1922
174,1942
175,1927
176,1954
177,1926
178,1813
179,1840
180,1863
181,1792
182,1781
183,1833
184,1773
185,1752
186,1754
187,1777
188,1676
189,1597
190,1545
191,1651
192,1620
193,1606
194,1531
195,1575
196,1551
197,1533
198,1558
199,1481
200,1440
201,1493
202,1500
203,1479
204,1406
205,1394
206,1376
207,1392
208,1439
209,1343
210,1363
211,1382
212,1338
213,1355
214,1270
215,1356
216,1257
217,1336
218,1306
219,1230
220,1303
221,1233
222,1265
223,1223
224,1256
225,1188
226,1197
227,1174
228,1175
229,1173
230,1201
231,1158
232,1106
233,1103
234,1124
235,1164
236,1010
237,1133
238,1083
239,1057
240,1059
241,1124
242,1091
243,1026
244,969
245,1078
246,984
247,1090
