column,dtype_inferred,missing_count,missing_ratio,is_numeric_like,min,median_approx,max
video_id,int64,0,0.0,True,0.0,24999.5,32038724.0
author_id,int64,0,0.0,True,0.0,5230385.0,8839734.0
video_type,object,0,0.0,False,,,
upload_dt,object,579,1.8071880201225237e-05,False,,,
upload_type,object,0,0.0,False,,,
visible_status,float64,206,6.429719035323659e-06,True,0.0,0.0,8.0
video_duration,float64,6758072,0.21093448631304773,True,33.0,41633.0,32424500.0
server_width,float64,222,6.929114688552682e-06,True,1.0,720.0,12096.0
server_height,float64,222,6.929114688552682e-06,True,2.0,1280.0,12288.0
music_id,int64,0,0.0,True,0.0,9055912100.0,9479247334.0
music_type,float64,311967,0.009737185234431145,True,1.0,9.0,11.0
tag,object,992223,0.03096949082711625,False,,,
